symbol,results_date,relative_change_7D,higher_highs_count,is_delivery_increasing
TMRVL,2021-10-28,51.69,4,False
TCI,2021-10-28,20.79,4,False
UGROCAP,2021-11-02,17.61,3,False
VISHWARAJ,2021-10-30,17.18,2,False
VEDL,2021-10-29,11.52,2,True
VENUSREM,2021-10-30,11.08,2,False
MPHASIS,2021-10-21,10.86,3,False
TECHM,2021-10-25,9.78,4,False
SEPOWER,2021-10-23,9.43,3,False
EMKAY,2021-10-28,9.3,4,False
TTKPRESTIG,2021-10-27,9.22,2,False
BORORENEW,2021-10-21,9.07,3,False
LGBBROSLTD,2021-10-30,8.87,3,False
TANLA,2021-10-21,8.58,4,False
VSSL,2021-10-25,8.27,3,False
HINDZINC,2021-10-22,8.13,2,False
DODLA,2021-10-22,7.67,4,False
SRPL,2021-10-29,6.73,3,False
WABCOINDIA,2021-10-26,6.55,3,True
LAXMIMACH,2021-10-27,5.78,2,True
ICRA,2021-10-25,5.27,3,False
ASAL,2021-10-23,5.26,3,False
ICICIBANK,2021-10-23,5.06,3,False
DPWIRES,2021-10-26,4.89,2,False
ADANIPORTS,2021-10-27,4.73,2,False
CANBK,2021-10-26,4.66,3,False
PGHH,2021-11-02,4.4,3,False
NAM-INDIA,2021-10-26,4.39,4,False
BASF,2021-11-02,3.83,2,False
KOPRAN,2021-10-27,3.43,2,False
AIAENG,2021-10-29,3.29,3,False
DENORA,2021-10-29,3.21,3,False
SHREDIGCEM,2021-10-27,3.13,1,False
LT,2021-10-27,3.12,2,False
BBL,2021-10-29,3.03,4,False
ONWARDTEC,2021-10-22,2.77,3,True
TATAPOWER,2021-10-28,2.74,2,False
SILGO,2021-10-27,2.55,2,False
KIRLOSENG,2021-10-28,2.54,2,False
RADIOCITY,2021-10-21,2.46,2,False
BAJAJFINSV,2021-10-28,2.28,3,False
NEWGEN,2021-10-25,2.07,3,False
TVTODAY,2021-10-29,1.99,1,False
INDOCO,2021-11-02,1.92,2,False
YESBANK,2021-10-22,1.89,1,False
SOLARINDS,2021-10-29,1.85,2,True
CERA,2021-10-26,1.79,3,True
NEXTMEDIA,2021-10-26,1.72,3,False
INDUSTOWER,2021-10-25,1.54,2,False
HIKAL,2021-10-26,1.45,2,False
INDUSINDBK,2021-10-27,1.45,3,False
MARUTI,2021-10-27,1.45,2,False
MHRIL,2021-10-22,1.41,3,False
POWERINDIA,2021-10-22,1.33,2,False
ABB,2021-10-26,1.3,3,False
AXISBANK,2021-10-26,1.28,3,False
ADANIENT,2021-10-27,1.27,2,False
ZENSARTECH,2021-10-26,1.23,2,False
STLTECH,2021-10-21,1.18,2,False
PSPPROJECT,2021-10-27,1.17,2,True
BAJAJHLDNG,2021-10-28,1.09,3,False
TATAELXSI,2021-10-22,0.96,2,False
ZEEL,2021-10-27,0.96,2,False
APARINDS,2021-11-01,0.87,2,False
SUNCLAYLTD,2021-10-22,0.71,3,False
THANGAMAYL,2021-11-02,0.66,1,False
JSWSTEEL,2021-10-21,0.54,2,False
GUJGASLTD,2021-10-28,0.5,1,False
SOUTHBANK,2021-10-21,0.48,2,False
FEDERALBNK,2021-10-22,0.43,2,False
HDFCLIFE,2021-10-22,0.36,2,False
TVSMOTOR,2021-10-21,0.36,2,False
RAMCOCEM,2021-10-25,0.31,3,False
KOTAKBANK,2021-10-26,0.3,2,False
JUBLPHARMA,2021-10-22,0.29,2,False
SANOFI,2021-10-26,0.24,3,False
TIINDIA,2021-10-27,0.2,1,False
RELIANCE,2021-10-22,0.2,3,False
KTKBANK,2021-10-28,0.14,2,False
CHOLAFIN,2021-10-29,0.05,2,False
INVENTURE,2021-10-22,0.0,2,False
AURIONPRO,2021-10-25,-0.14,2,False
MRPL,2021-10-26,-0.2,2,False
APLAPOLLO,2021-10-28,-0.22,2,False
JINDALSAW,2021-10-29,-0.26,2,False
RANEHOLDIN,2021-11-02,-0.32,1,True
PONNIERODE,2021-10-22,-0.35,2,False
GLAXO,2021-10-29,-0.39,2,False
KEC,2021-10-27,-0.43,2,False
JSL,2021-10-26,-0.44,2,False
SURANASOL,2021-10-22,-0.45,2,False
IDFCFIRSTB,2021-10-30,-0.51,3,False
IOC,2021-10-29,-0.53,2,False
IEX,2021-10-21,-0.54,2,False
HUHTAMAKI,2021-10-22,-0.61,2,False
MMTC,2021-10-28,-0.65,2,False
MAHABANK,2021-10-21,-0.71,2,False
VSTIND,2021-10-21,-0.73,2,False
PRSMJOHNSN,2021-10-28,-0.82,1,True
CIPLA,2021-10-26,-0.83,1,False
GREENLAM,2021-10-26,-0.86,1,False
20MICRONS,2021-10-21,-0.87,2,False
TCIDEVELOP,2021-10-22,-0.94,1,False
STYLAMIND,2021-10-22,-0.95,2,False
ARVIND,2021-10-27,-0.98,2,True
AYMSYNTEX,2021-10-30,-1.02,2,False
ITC,2021-10-27,-1.04,3,False
JSWHL,2021-10-28,-1.12,1,False
RADICO,2021-11-02,-1.12,2,False
